NOM_FORET,burned_buffer_m2,burned_core_m2,date,month,year
Monts Kouffe,0,0,5/1/24,5,2024
Monts Kouffe,0,0,6/1/24,6,2024
Monts Kouffe,0,0,7/1/24,7,2024
Monts Kouffe,0,0,8/1/24,8,2024
Monts Kouffe,0,0,9/1/24,9,2024
Monts Kouffe,0,0,10/1/24,10,2024
Monts Kouffe,0,0,11/1/24,11,2024
Monts Kouffe,5.726082297,5.726023484,12/1/24,12,2024
Monts Kouffe,63.59064067,815.6565947,1/1/25,1,2025
Monts Kouffe,16.70096591,20.25841681,2/1/25,2,2025
Monts Kouffe,0,0,3/1/25,3,2025
Wari-Maro,150.6096255,62.42037586,11/1/00,11,2000
Wari-Maro,393.4779137,339.7611858,12/1/00,12,2000
Wari-Maro,13.69097847,36.87488064,1/1/01,1,2001
Wari-Maro,1.458635059,2.084462882,2/1/01,2,2001
Wari-Maro,0,0,3/1/01,3,2001
Wari-Maro,0,0,4/1/01,4,2001
Wari-Maro,0,0,5/1/01,5,2001
Wari-Maro,0,0,6/1/01,6,2001
Wari-Maro,0,0,7/1/01,7,2001
Wari-Maro,0,0,8/1/01,8,2001
Wari-Maro,0,0,9/1/01,9,2001
Wari-Maro,0,0,10/1/01,10,2001
Wari-Maro,41.49090657,52.86042282,11/1/01,11,2001
Wari-Maro,492.2850248,601.4559863,12/1/01,12,2001
Wari-Maro,28.14248891,11.70128439,1/1/02,1,2002
Wari-Maro,1.244803438,0,2/1/02,2,2002
Wari-Maro,0,0,3/1/02,3,2002
Wari-Maro,0,0,4/1/02,4,2002
Wari-Maro,0,0,5/1/02,5,2002
Wari-Maro,0,0,6/1/02,6,2002
Wari-Maro,0,0,7/1/02,7,2002
Wari-Maro,0,0,8/1/02,8,2002
Wari-Maro,0,0,9/1/02,9,2002
Wari-Maro,0.248966313,0,10/1/02,10,2002
Wari-Maro,23.77948414,13.06623338,11/1/02,11,2002
Wari-Maro,798.1988256,768.7195541,12/1/02,12,2002
Wari-Maro,49.4212124,8.068393129,1/1/03,1,2003
Wari-Maro,0,0,2/1/03,2,2003
Wari-Maro,0,0,3/1/03,3,2003
Wari-Maro,0,0,4/1/03,4,2003
Wari-Maro,0,0,5/1/03,5,2003
Wari-Maro,0,0,6/1/03,6,2003
Wari-Maro,0,0,7/1/03,7,2003
Wari-Maro,0,0,8/1/03,8,2003
Wari-Maro,0,0,9/1/03,9,2003
Wari-Maro,0,0,10/1/03,10,2003
Wari-Maro,0,0,11/1/03,11,2003
Wari-Maro,602.5554229,602.679299,12/1/03,12,2003
Wari-Maro,88.16041498,52.53112159,1/1/04,1,2004
Wari-Maro,0,0.248963063,2/1/04,2,2004
Wari-Maro,0,0.746888953,3/1/04,3,2004
Wari-Maro,0,0,4/1/04,4,2004
Wari-Maro,0,0,5/1/04,5,2004
Wari-Maro,0,0,6/1/04,6,2004
Wari-Maro,0,0,7/1/04,7,2004
Wari-Maro,0,0,8/1/04,8,2004
Wari-Maro,0,0,9/1/04,9,2004
Wari-Maro,0,0,10/1/04,10,2004
Wari-Maro,56.43942898,38.04264829,11/1/04,11,2004
Wari-Maro,223.5825016,364.9991205,12/1/04,12,2004
Wari-Maro,284.6100465,160.5761339,1/1/05,1,2005
Wari-Maro,13.19882347,0.741032948,2/1/05,2,2005
Wari-Maro,0,0,3/1/05,3,2005
Wari-Maro,0,0,4/1/05,4,2005
Wari-Maro,0,0,5/1/05,5,2005
Wari-Maro,0,0,6/1/05,6,2005
Wari-Maro,0,0,7/1/05,7,2005
Wari-Maro,0,0,8/1/05,8,2005
Wari-Maro,0,0,9/1/05,9,2005
Wari-Maro,0,0,10/1/05,10,2005
Wari-Maro,20.37671569,23.93567847,11/1/05,11,2005
Wari-Maro,435.8850292,649.1545747,12/1/05,12,2005
Wari-Maro,42.31660212,28.39176967,1/1/06,1,2006
Wari-Maro,1.520124686,0,2/1/06,2,2006
Wari-Maro,0,0,3/1/06,3,2006
Wari-Maro,2.478900691,0.009763292,4/1/06,4,2006
Wari-Maro,0,0,5/1/06,5,2006
Wari-Maro,0,0,6/1/06,6,2006
Wari-Maro,0,0,7/1/06,7,2006
Wari-Maro,0,0,8/1/06,8,2006
Wari-Maro,0,0,9/1/06,9,2006
Wari-Maro,0,0,10/1/06,10,2006
Wari-Maro,4.979250047,2.489629453,11/1/06,11,2006
Wari-Maro,377.3407256,531.8946157,12/1/06,12,2006
Wari-Maro,57.11853593,61.05584995,1/1/07,1,2007
Wari-Maro,5.257473296,18.14399612,2/1/07,2,2007
Wari-Maro,4.916722441,0.248965406,3/1/07,3,2007
Wari-Maro,0,0,4/1/07,4,2007
Wari-Maro,0,0,5/1/07,5,2007
Wari-Maro,0,0,6/1/07,6,2007
Wari-Maro,0,0,7/1/07,7,2007
Wari-Maro,0,0,8/1/07,8,2007
Wari-Maro,0,0,9/1/07,9,2007
Wari-Maro,0,0,10/1/07,10,2007
Wari-Maro,21.26726412,20.80658966,11/1/07,11,2007
Wari-Maro,330.985277,545.8648353,12/1/07,12,2007
Wari-Maro,73.38698621,57.97051528,1/1/08,1,2008
Wari-Maro,0.689284842,6.77764996,2/1/08,2,2008
Wari-Maro,0,0,3/1/08,3,2008
Wari-Maro,0,1.493789219,4/1/08,4,2008
Wari-Maro,0,0,5/1/08,5,2008
Wari-Maro,0,0,6/1/08,6,2008
Wari-Maro,0,0,7/1/08,7,2008
Wari-Maro,0,0,8/1/08,8,2008
Wari-Maro,0,0,9/1/08,9,2008
Wari-Maro,0,0,10/1/08,10,2008
Wari-Maro,15.84563864,12.28604617,11/1/08,11,2008
Wari-Maro,52.47335434,102.7018471,12/1/08,12,2008
Wari-Maro,197.4554635,105.7665383,1/1/09,1,2009
Wari-Maro,0.248960984,4.232395188,2/1/09,2,2009
Wari-Maro,0,0,3/1/09,3,2009
